,Title,CompanyName,Rating,Location,Summary,date,Url,Details
0,Data Scientist,Daimler,4.1,"Bengaluru, Karnataka",Good knowledge of statistical data analysis.Data processing and basic statistical analysis.Must hands-on experience in dashboard building using Power _BI and…,17 days ago,https://www.indeed.com/viewjob?jk=6f105d370ba703bf,Data Scientist Description Responsibilities: Data processing and basic statistical analysis Must han...
1,Data Scientist - Advanced Machine Learning,,,"Bengaluru, Karnataka",>3 years’ experience in data science/Analytics roles.Develop and maintain robust data processing pipelines and reproducible modelling pipelines.,30+ days ago,https://www.indeed.com/viewjob?jk=3a928fe060caf5b4,Role Summary We are looking for Data Scientists to help us create innovative machine learning solut...
2,"Data Scientist - Machine Learning, Deep Learning, NLP",Enterprise Bot,3.3,"Bengaluru, Karnataka",The data scientist will be responsible for design and development of deep learning models based on unstructured and Structured Data.,3 days ago,https://www.indeed.com/viewjob?jk=505a185a491dc5bb,"At Enterprise Bot, we create AI-powered bots to automate customer interactions and provide enterpris..."
3,DATA SCIENTIST,,,"Bengaluru, Karnataka","Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.",8 days ago,https://www.indeed.com/viewjob?jk=07fcb11ddcfe93e3,We have an urgent requirement for Data Scientist with one of our client. Please find the below requi...
4,Data Scientist,,,"Bengaluru, Karnataka",Build models and analyze medical data collected from healthcare devices and apps.Expose this data to mobile and web apps to build feature set.,30+ days ago,https://www.indeed.com/viewjob?jk=20213db8f043d81b,LOCATION Bangalore TYPE Full Time Looking for: Strong background in Machine Learning and Statistics...
5,WM Data Scientist Lead,"JPMorgan Chase Bank, N.A.",3.9,"Bengaluru, Karnataka","Knowledge of industry wide data trends and best practices.Advanced knowledge of data, application and infrastructure architecture disciplines.",2 days ago,https://www.indeed.com/viewjob?jk=e5cb22b72c6df7ce,As a member of our Predictive Science Group we look first and foremost for people who are passionate...
6,Data Scientist,GSK,4.2,"Bengaluru, Karnataka","Performing data mining to discover nonobvious relationships, building training data, implementing and retraining ML solutions.",10 days ago,https://www.indeed.com/viewjob?jk=5661978474309752,Site Name: Bengaluru Luxor North Tower Posted Date: May 25 2021 GSK is one of the world’s foremost p...
7,Data Scientist,Mercedes-Benz Research and Development India Priva...,4.0,"Bengaluru, Karnataka",Good knowledge of statistical data analysis.Data processing and basic statistical analysis.Must hands-on experience in dashboard building using Power _BI and…,18 days ago,https://www.indeed.com/viewjob?jk=1728449d436535d9,Aufgaben Responsibilities: Data processing and basic statistical analysisMust hands-on experience in...
8,Data Scientist 1,Epsilon India,3.8,"Bengaluru, Karnataka","Exposure to CNN, RNN neural networks based professional projects solving problem in the likes of time series data and image data.",5 days ago,https://www.indeed.com/viewjob?jk=ffcb96bb5c0d0ef2,Contribute and build an internal product library that is focused on solving business problems relate...
9,EBP AI/ML Data Scientist,HP,4.0,"Bengaluru, Karnataka",Invalid data set during execution.Knowledge of data processing techniques and data pre-processing requirements for the common machine learning approaches.,5 days ago,https://www.indeed.com/viewjob?jk=d979f9c1cbd5fbd0,"At HP, we believe in the power of ideas. Our vision is to create technology that makes life better f..."
10,Vice President-Data Scientist-AI/ML,"JPMorgan Chase Bank, N.A.",3.9,"Bengaluru, Karnataka","Minimum 5+ years of working experience as a data scientist.Use large scale data processing frameworks such as Spark, AWS EMR for feature engineering and be…",Today,https://www.indeed.com/viewjob?jk=0eb114f807ff7537,We are looking for a Data Scientist/ML Engineer to join our technology team to solve exciting busine...
11,Data Scientist,Oracle,3.8,"Bengaluru, Karnataka",Experiance with data science packages and tools like Python.Are you a Data Analyst with distributed systems and Big Data experience who wants to dream up new…,1 day ago,https://www.indeed.com/viewjob?jk=6e43db2d9609c7a3,"Are you a seasoned data scientist who has extensive experience working with scaling, storing and ana..."
12,EY- Data And Analytics-data Visualization Expert-32-1,EY,4.0,"Bengaluru, Karnataka",Strong knowledge on data warehousing /data modelling best practices.Working with latest tools available in the market you will help clients by acquiring data…,Today,https://www.indeed.com/viewjob?jk=5345c23e9398685a,"EY-Data & Analytics – Consulting – Visual Analytics Manager As part of our EY-DnA team, you will hel..."
13,Staff Data Scientist,,,"Bengaluru, Karnataka","Hand-on experience in Data Preparation tools – pandas, data table.The improved forecast will help drive down the inventory days of supply and reduce waste for…",30+ days ago,https://www.indeed.com/viewjob?jk=fd7691d5a8482c68,Job Title: Staff Data Scientist Level: IN5 Location: Bangalore About Global Tech Imagine working...
14,Data Scientist,Commonwealth Bank,4.0,"Bengaluru, Karnataka","Deliver business value by interpreting data (including identification of patterns and trends) to solve data-analytics problems, with minimal supervision of a…",30+ days ago,https://www.indeed.com/viewjob?jk=25066d490aaf626a,"At CommBank, we never lose sight of the role we play in other people’s financial wellbeing. Our focu..."
15,Data Scientist,Zeta Global,2.6,"Bengaluru, Karnataka",Empower the product and engineering teams to make data-driven decisions.Experience or willingness to learn tools to create data pipelines using Luigi/Airflow.,2 days ago,https://www.indeed.com/viewjob?jk=5017c601334b1628,About the Job: Zeta Global is looking for an experienced Data Scientist with industry-proven hands-o...
16,Senior Data Scientist,,,"Bengaluru, Karnataka",Minimum 4+ years of experience as data scientist / data analyst.Good statistical analysis skills for data pre-processing and data wrangling.,4 days ago,https://www.indeed.com/viewjob?jk=ccfb297643e5b452,About Parxsys: ParXsys MoBliT Systems Pvt Ltd is a Bengaluru based technology company with offices i...
17,Data Scientist,Great Learning,3.6,"Bengaluru, Karnataka","Automation of manual data collection, data cleansing and exploratory data analysis.Own the student's learning outcomes by providing them with support on the…",30+ days ago,https://www.indeed.com/viewjob?jk=1d2c159b1d758794,"Bangalore, Pune, Chennai Key Responsibilities Own the student's learning outcomes by providing them ..."
18,Data Scientist,Appnomic Systems Pvt. Ltd,4.3,"Bengaluru, Karnataka",Products handle very high volumes of streaming data and perform complex learnings on structured and unstructured data in near real time.,30+ days ago,https://www.indeed.com/viewjob?jk=0e289dffd7de97b6,Company – HEALLocation – BangaloreStatus – Full TimeJob Category – Data ScientistRelevant Work Exper...
19,Data Scientist,IBM,3.9,"Bengaluru, Karnataka","Experience querying databases and using statistical computer languages (R, Python, etc) to manipulate data and draw insights from large data sets.",13 days ago,https://www.indeed.com/viewjob?jk=77970ac025906768,"Introduction As a Data Scientist at IBM, you will help transform our clients’ data into tangible bus..."
20,DATA SCIENTIST / MACHINE LEARNING EXPERT,,,"Bengaluru, Karnataka","Good applied statistics skills, such as distributions, statistical testing, regression, etc.Excellent understanding of Machine learning techniques and…",30+ days ago,https://www.indeed.com/viewjob?jk=825fbbe35cb71f31,"Relevant Experience Good applied statistics skills, such as distributions, statistical testing, regr..."
21,Data Scientist - Machine Learning (Commerce BU),,,"Bengaluru, Karnataka","Procuring data from platform, client and public data sources.Implementing data enrichment and cleansing routines.3+ years of Python programming experience.",30+ days ago,https://www.indeed.com/viewjob?jk=28ed219574b7e67e,"Overview: The Data Science and Machine Learning team works closely with sales, product and engineeri..."
22,"Data Scientist, Machine Learning",,,"Bengaluru, Karnataka","Strong skills in data-structures and ML algorithms.Experience of working on end-to-end data science pipeline: problem scoping, data gathering, EDA, modelling,…",30+ days ago,https://www.indeed.com/viewjob?jk=dc4913ce80a83034,Position Description: The Artificial Intelligence and Machine Learning (AIML) group at Fractal Analy...
23,Data Scientist,RELX Group,4.1,"Bengaluru, Karnataka",Advance the automation and reliability of our core data science processes.Experience working on data science projects that have reached the commercial…,30+ days ago,https://www.indeed.com/viewjob?jk=ee2398dd58184a59,"Elsevier is part of the Reed Elsevier Group plc., which is a world leading provider of professional ..."
24,Data Scientist,ALSTOM,4.0,"Bengaluru, Karnataka","Manage a multidisciplinary team of data engineers, data scientists, machine learning engineers, and big data specialists on a wide variety of data projects.",9 days ago,https://www.indeed.com/viewjob?jk=af76da740f0acf0d,Req ID:111486 We create smart innovations to meet the mobility challenges of today and tomorrow. We ...
25,Data Scientist,,,"Bengaluru, Karnataka","Use industry technologies, tools, and data mining frameworks for data analytics including data visualization for analyzing, optimizing, developing hypotheses,…",9 days ago,https://www.indeed.com/viewjob?jk=0015948f37ffa16b,Description OnPoint Digital Solutions is looking for a Data Scientist to join our Data Science and A...
26,Data Scientist 2,PayPal,3.9,"Bengaluru, Karnataka",Enthusiasm for data-driven problem solving within a fast-paced environment is a must.Risk Decision Scientists apply their analytical and technical skills into…,29 days ago,https://www.indeed.com/viewjob?jk=656a3332b5af1a17,Who we are: Fueled by a fundamental belief that having access to financial services creates opportun...
27,Data Scientist,,,"Bengaluru, Karnataka",Create prototypes with data sets and provide guidance on leveraging and combining new data sources for new business insights.,30+ days ago,https://www.indeed.com/viewjob?jk=a03690c1c3387d7b,"You will be responsible for leading the vision, design and development of scalable Machine Learning ..."
